Study Identification,,,,,,Trial Characteristics,,,,,,,,Tx Descriptions,,,,Tx Dosage,,
First author,Year,Study ID,Country/location,Sample size (total),Registration/protocol no.,Study design (RCT / non-RCT),Population Descriptor,Sx/Dx status for inclusion,Mean age,Gender Split (M/F/non-binary),Recruitment setting,Type of AI tool,Tool name,AI-tool standalone vs multicomponent,Tool's psychological theory/treatment paradigm,Arms (no.),Comparators,Intervention duration (weeks),Frequency per week,Session length
,,,,Randomised or allocated,,,,"e.g., DSM diagnosis - clinical interview; above cut-point on Sx scale",,,,,,standalone=CBT chatbot; multicomponent=chatbot plus clinician session etc.,"e.g., CBT if a CBT chatbot; supportive (employs ""reflective listening""); PE=psychoed. etc.",,,,,
Romanovskyi,2021,Romanovskyi-2021-Elomia,Ukraine,82,NR,RCT,students,Elevated Sx,19-23 (range),F=39; M=43,university,Conversational agent,Elomia,standalone,CBT; psychological first-aid,2,AP (self-help),4 weeks,self determined,self determined
Jiang,2025,Jiang-2025-Elomia,China,80,NR,RCT,middle school students,Elevated Sx,14-18 (range),F=100%,Middle school,Conversational agent,Elomia,standalone,CBT,2,AP (health-app),2 months,3,20mins
Zhao,2024,Zhao-2024-Douyin Companion Bot,China,865 (657 analysed),NCT06346496,RCT,young adults,Elevated Sx,20.59,F=406 (61.8%=406/657),general,Conversational agent,Douyin Companion Bot,standalone,Solution-focused brief therapy (SFBT); positive psychology; Problem Management + (PM+ developed by WHO),2,WL,4 weeks (28 days),daily,minimum 5 mins
Indrayanti,2025,Indrayanti-2025-PsyBot,Indonesia,32,NR,RCT,university students,Elevated Sx,18-22 (range),F=62.5%,university,Conversational agent,PsyBot,standalone,Psychological First Aid (PFA),2,AP,Single session,NA,30min
Qi,2025,Qi-2025-Woebot,China,86,NR,N-RCT,university students,Elevated Sx,17-20 (range),F=46 (n),university,Conversational agent,Woebot,standalone,CBT,2,NT,8 weeks,daily,20min
Gleason,2023,Gleason-2023-Woebot,USA,141,NCT05372913,RCT,adolescent outpatients,help-seeking (Dx),14.6,F=78%,children's hospital outpatient unit,Conversational agent,Woebot,standalone,CBT,2,CBT (group),4 weeks,NR,NR
Nicol,2022,Nicol-2022-Woebot-W-GenZ,USA,18,NCT04603053,RCT,adolescents,anxiety/depression Dx,14.7,F=15(88.2%),pediatric care providers (PCPs) - clinics,Conversational agent,Woebot-W-GenZ,standalone,CBT,2,WL,12 weeks,self determined,20mins (+ self determined)
Lui,2025,Lui-2025-XiaoNan,China,83,NR,RCT,university students,Elevated Sx,23.08,F=46 (n),university,Conversational agent,XiaoNan,standalone,CBT,2,AP (self-help),16 weeks,self determined,self determined
Johnson,2024,Johnson-2024-Chat-GPT-Prompts,Austraia,,ACTRN12623001056684,RCT,university students,Elevated Sx,20.65,F=84.1%,university,Conversational agent,Chat-GPT-Prompts,standalone (+ self-help),none (general),2,AP (self-help),4 weeks,NR,NR
He,2022,He-2022-XiaoE,China,148,ChiCTR2100052532 (ChiCTR registry ),RCT,university students,Elevated Sx,18.78,F=55/148,"university, general, counselling centre",Conversational agent,XiaoE,standalone,CBT,3,XiaoAi (general chatbot); WL,1 week,daily,NR
Wu,2026,Wu-2026-Xiao-Zhi,China,90,ChiCTR2400088423,RCT,university students,Elevated Sx,20.4,F=62/87,"university, general",Conversational agent,Xiao-Zhi,standalone,CBT,3,CBT (group); WL,4 weeks,2,60mins
Shoshani,2026,Shoshani-2026-Kai,Israel,995,ISRCTN61075527,RCT,university students,Elevated Sx,23.1,F=504 (50.7%),university,Conversational agent,Kai,standalone,CBT,3,CBT (group); WL,12 weeks,3 (+ self determined use),self determined
