APA PsycInfo,
LINE,TERMS
1,exp Artificial Intelligence/
2,exp machine learning/
3,exp Deep Neural Networks/
4,natural language processing/
5,generative artificial intelligence/
6,exp intelligent agents/ or exp conversational agents/ or chatbots/
7,"artificial intelligence.ti,ab,id."
8,"machine learning.ti,ab,id."
9,"(AI algorithm* or ML algorithm*).ti,ab,id."
10,"neural network*.ti,ab,id."
11,"((deep or supervised or unsupervised) adj learning).ti,ab,id."
12,"((rule-based or expert or recommender or ""decision support"") adj2 system*).ti,ab,id."
13,"(large language model* or LLM).ti,ab,id."
14,"(natural language process* or NLP or natural language detect* or natural language identifi*).ti,ab,id."
15,or/1-14
16,"(chatbot* or chat-bot* or conversational agent*).ti,ab,id."
17,"(chat-GPT or chatgpt or GPT4 or GPT-4 or GPT3 or GPT-3 or ""generative pre-train* transformer"").ti,ab,id."
18,or/16-17
19,"(intelligent adj2 (bot* or agent* or assistant* or avatar* or system)).ti,ab,id."
20,"(social adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,id."
21,"(virtual adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,id."
22,"(conversational adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,id."
23,"(digital adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,id."
24,or/19-23
25,"(""just in time adaptive intervention*"" or JITAI or adaptive intervention*).ti,ab,id."
26,"(""ecological momentary"" or ""momentary assessment*"" or ""experience sampling"").ti,ab,id."
27,"(mobile sensor* or mobile sensing or passive sensor* or passive sensing).ti,ab,id."
28,"digital phenotyp*.ti,ab,id."
29,or/25-28
30,15 or 18 or 24 or 29
31,clinical trials/
32,exp randomized controlled trials/
33,placebo/
34,experiment controls/
35,between groups design/
36,Treatment Effectiveness Evaluation/
37,"(random* or sham or placebo*).ti,ab,id."
38,"((tripl* or trebl*) adj (blind* or dumm* or mask*)).ti,ab,id."
39,"((singl* or doubl*) adj (blind* or dumm* or mask*)).ti,ab,id."
40,"(control* adj3 (study or studies or trial* or group* or condition$1 or design*)).ti,ab,id."
41,"((compare* or compari* or comparat*) adj4 (study or studies or trial* or group* or design* or condition$1)).ti,ab,id."
